sku,product_name,category,current_stock,reorder_point,supplier_lead_time,shipping_time,receiving_buffer,base_velocity,avg_daily_velocity,last_restock_date,unit_cost,unit_price,supplier
SCH-10067,Paddock Boots Zip Front Leather,Riding Apparel,80,0,60,12,5,0.61,0.55,2026-04-01,58.95,173.95,Mountain Horse EU
SCH-10068,Half Chaps Synthetic Suede,Riding Apparel,123,88,75,16,5,0.84,0.76,2026-03-22,22.59,52.32,Pacific Rim Imports
SCH-10069,Riding Vest Quilted Insulated,Riding Apparel,78,52,60,12,5,0.69,0.62,2026-03-20,19.75,42.49,Mountain Horse EU
SCH-10070,Western Boot Cut Riding Jean,Riding Apparel,48,40,18,5,5,0.85,0.77,2026-03-07,34.62,77.57,Dover Wholesale
SCH-10071,Sun Shirt UV Protection Long Sleeve,Riding Apparel,202,179,75,16,5,1.98,1.78,2026-03-19,20.69,47.81,Pacific Rim Imports
SCH-10072,Safety Vest Body Protector BETA Level 3,Riding Apparel,64,47,60,12,5,0.56,0.5,2026-03-21,71.83,221.71,Mountain Horse EU
SCH-10073,Hunt Coat Show Jacket Navy,Riding Apparel,27,0,60,12,5,0.5,0.45,2026-03-19,48.41,119.6,Mountain Horse EU
SCH-10074,Western Show Shirt Sequin Trim,Riding Apparel,175,239,75,16,5,2.59,2.33,2026-03-18,22.51,58.67,Pacific Rim Imports
SCH-10075,Jodhpur Boots Children Zip,Riding Apparel,8,27,60,12,5,0.38,0.34,2026-03-12,19.6,43.18,Mountain Horse EU
SCH-10076,Riding Tights Silicone Grip Full Seat,Riding Apparel,18,35,75,16,5,0.35,0.32,2026-03-17,38.67,126.92,Pacific Rim Imports
SCH-10077,Heavy Duty Corner Feeder,Barn & Stable,548,123,21,5,5,3.92,3.53,2026-04-01,10.14,25.79,Horsemens Pride
SCH-10078,Rubber Stall Mat 4x6,Barn & Stable,173,83,20,4,5,2.32,2.09,2026-03-23,30.09,78.12,Blue Ridge Equine Supply
SCH-10079,Automatic Waterer Insulated,Barn & Stable,1224,315,21,5,5,7.78,7.0,2026-04-01,77.88,185.49,Horsemens Pride
SCH-10080,Hay Net Slow Feed Small Mesh,Barn & Stable,69,19,20,4,5,0.65,0.59,2026-03-19,14.95,31.39,Blue Ridge Equine Supply
SCH-10081,Bucket Hook Over Door 8qt,Barn & Stable,29,11,18,5,5,0.37,0.33,2026-03-21,3.33,10.15,Dover Wholesale
SCH-10082,Cross Tie Panic Snap Set,Barn & Stable,3,8,18,5,5,0.24,0.22,2026-02-26,6.04,13.19,Dover Wholesale
SCH-10083,Stall Guard Adjustable Nylon,Barn & Stable,0,95,18,5,5,3.12,2.81,2026-01-23,9.56,21.64,Dover Wholesale
SCH-10084,Muck Bucket 70qt Heavy Duty,Barn & Stable,40,32,21,5,5,0.94,0.85,2026-03-18,9.94,26.51,Horsemens Pride
SCH-10085,Hay Bale Storage Bag Waterproof,Barn & Stable,651,189,20,4,5,5.85,5.26,2026-03-26,22.75,46.84,Blue Ridge Equine Supply
SCH-10086,Salt Block Holder Wall Mount,Barn & Stable,84,15,18,5,5,0.55,0.5,2026-03-22,5.75,15.97,Dover Wholesale
SCH-10087,Stall Fan Barn 18in Oscillating,Barn & Stable,721,334,21,5,5,9.77,8.79,2026-03-21,33.06,73.48,Horsemens Pride
SCH-10088,Blanket Bar Wall Mount Folding,Barn & Stable,1550,442,14,3,5,17.56,15.8,2026-03-24,16.72,37.48,Local Craftworks
SCH-10089,Easy-Up Titan Stall Gate,Barn & Stable,22,16,21,5,5,3.56,3.2,2026-03-28,69.61,206.47,Horsemens Pride
SCH-10090,Manure Fork Platinum Unbreakable,Barn & Stable,45,13,21,5,5,0.46,0.41,2026-03-28,10.29,25.67,Horsemens Pride
SCH-10091,Multipurpose Muck Cart Rolling,Barn & Stable,95,0,21,5,5,0.84,0.76,2026-04-02,27.55,79.74,Horsemens Pride
SCH-10092,Saddle Rack Wall Mount Folding,Barn & Stable,27,15,14,3,5,0.66,0.59,2026-03-17,14.44,33.77,Local Craftworks
SCH-10093,Bridle Rack Coated Metal 4-Hook,Barn & Stable,984,230,14,3,5,9.84,8.86,2026-04-02,7.19,19.95,Local Craftworks
SCH-10094,Corner Floor Hay Rack with Lid,Barn & Stable,79,28,21,5,5,0.92,0.83,2026-03-19,25.28,52.52,Horsemens Pride
SCH-10095,Mounting Block 3-Step Portable,Barn & Stable,297,110,21,5,5,3.5,3.15,2026-03-30,36.33,91.23,Horsemens Pride
SCH-10096,Stall Drapes Show Custom Set,Barn & Stable,62,22,14,3,5,0.88,0.79,2026-03-18,57.66,144.75,Local Craftworks
SCH-10097,Body Brush Natural Bristle,Grooming,309,86,20,4,5,2.76,2.48,2026-03-26,9.1,20.52,Blue Ridge Equine Supply
SCH-10098,Mane and Tail Detangler Spray 32oz,Grooming,47,13,16,5,5,0.51,0.46,2026-03-27,5.04,12.94,Farnam Direct
SCH-10099,Hoof Pick with Brush Combo,Grooming,1149,549,20,4,5,17.45,15.71,2026-03-06,2.47,7.16,Blue Ridge Equine Supply
SCH-10100,Shedding Blade Sweat Scraper Combo,Grooming,1676,419,18,5,5,15.02,13.52,2026-03-25,5.94,14.82,Dover Wholesale
SCH-10101,Medicated Shampoo Antifungal 32oz,Grooming,1470,240,16,5,5,9.23,8.31,2026-03-28,10.46,21.05,Farnam Direct
SCH-10102,Grooming Tote Bag with Pockets,Grooming,299,193,20,4,5,5.97,5.37,2026-03-11,11.99,28.51,Blue Ridge Equine Supply
SCH-10103,Electric Clipper Body Clip Pro,Grooming,865,224,18,5,5,7.79,7.01,2026-04-01,117.34,238.1,Dover Wholesale
SCH-10104,Rubber Curry Comb Original,Grooming,0,144,20,4,5,5.0,4.5,2026-03-11,2.64,7.35,Blue Ridge Equine Supply
SCH-10105,Show Sheen Hair Polish 32oz,Grooming,23,60,16,5,5,2.24,2.02,2026-02-21,5.43,13.12,Farnam Direct
SCH-10106,Mane Pulling Comb Aluminum,Grooming,0,81,18,5,5,2.22,2.0,2026-03-19,3.15,8.67,Dover Wholesale
SCH-10107,Braiding Kit Complete with Thread,Grooming,24,7,20,4,5,0.24,0.22,2026-03-27,7.22,22.58,Blue Ridge Equine Supply
SCH-10108,Hoof Conditioner Moisturizer 32oz,Grooming,246,104,16,5,5,4.0,3.6,2026-03-08,7.76,18.99,Farnam Direct
SCH-10109,Tail Bag Lycra Stretch,Grooming,2447,527,20,4,5,18.3,16.47,2026-03-22,4.18,11.61,Blue Ridge Equine Supply
SCH-10110,Clipper Blade Coolant Spray 15oz,Grooming,88,23,16,5,5,0.85,0.77,2026-03-23,5.92,18.62,Farnam Direct
SCH-10111,Grooming Mitt Dual Sided,Grooming,120,23,20,4,5,0.79,0.71,2026-03-23,2.57,5.71,Blue Ridge Equine Supply
SCH-10112,Joint Supplement Glucosamine Pellets 5lb,Supplements & Health,85,583,16,5,5,8.95,8.5,2026-03-20,15.47,45.2,Farnam Direct
SCH-10113,Electrolyte Powder Apple Flavor 5lb,Supplements & Health,44,16,16,5,5,0.58,0.55,2026-03-11,8.06,20.56,Farnam Direct
SCH-10114,Hoof Supplement Biotin Daily Pellets 10lb,Supplements & Health,7,22,16,5,5,0.82,0.78,2026-02-11,36.45,82.66,Farnam Direct
SCH-10115,Calming Supplement Magnesium Paste 60ml,Supplements & Health,273,107,20,4,5,3.54,3.36,2026-03-25,16.76,45.9,Blue Ridge Equine Supply
SCH-10116,Probiotic Digestive Support Powder 4lb,Supplements & Health,1,9,16,5,5,0.34,0.32,2026-03-10,13.61,31.93,Farnam Direct
SCH-10117,Wound Care Spray Antimicrobial 16oz,Supplements & Health,296,94,20,4,5,2.83,2.69,2026-03-27,7.1,22.8,Blue Ridge Equine Supply
SCH-10118,Thrush Treatment Liquid 16oz,Supplements & Health,1774,815,16,5,5,19.96,18.96,2026-03-26,4.47,9.11,Farnam Direct
SCH-10119,Poultice Cooling Clay 5lb,Supplements & Health,81,18,20,4,5,0.59,0.56,2026-03-20,6.86,22.12,Blue Ridge Equine Supply
SCH-10120,Fly Bite Relief Gel 12oz,Supplements & Health,12,3,16,5,5,0.13,0.12,2026-03-28,4.96,11.86,Farnam Direct
SCH-10121,Weight Gain Supplement High Fat 25lb,Supplements & Health,82,29,16,5,5,0.98,0.93,2026-03-12,18.49,50.96,Farnam Direct
SCH-10122,Dewormer Paste Ivermectin Single Dose,Supplements & Health,42,42,16,5,5,0.97,0.92,2026-03-08,2.28,4.98,Farnam Direct
SCH-10123,Liniment Cooling Gel 16oz,Supplements & Health,28,19,20,4,5,0.63,0.6,2026-03-07,5.03,15.06,Blue Ridge Equine Supply
SCH-10124,Vitamin E Selenium Supplement Pellets 10lb,Supplements & Health,39,136,16,5,5,4.78,4.54,2026-03-06,17.04,51.9,Farnam Direct
SCH-10125,Sand Clear Psyllium Pellets 20lb,Supplements & Health,8,69,16,5,5,1.97,1.87,2026-03-07,15.18,44.39,Farnam Direct
SCH-10126,Omega 3 Oil Supplement Gallon,Supplements & Health,44,22,16,5,5,0.56,0.53,2026-03-21,19.46,48.08,Farnam Direct
SCH-10127,Calming Wafer Treats 30ct,Supplements & Health,457,0,20,4,5,2.93,2.78,2026-03-27,14.27,38.75,Blue Ridge Equine Supply
SCH-10128,Sport Medicine Boots Front Pair,Boots & Wraps,0,6,18,5,5,0.17,0.15,2025-12-30,25.29,62.92,Dover Wholesale
SCH-10129,Polo Wraps Set of 4 Fleece,Boots & Wraps,225,87,18,5,5,2.79,2.51,2026-03-22,11.68,32.66,Dover Wholesale
SCH-10130,Bell Boots No Turn Rubber Pair,Boots & Wraps,55,18,20,4,5,0.6,0.54,2026-03-28,5.57,15.09,Blue Ridge Equine Supply
SCH-10131,Standing Wraps Quilted Set of 4,Boots & Wraps,16,11,18,5,5,0.38,0.34,2026-03-11,18.27,43.47,Dover Wholesale
SCH-10132,Ceramic Therapy Hock Wraps Pair,Boots & Wraps,571,144,21,5,5,4.58,4.12,2026-03-25,26.68,79.97,Horsemens Pride
SCH-10133,Shipping Boots Full Set of 4,Boots & Wraps,495,110,18,5,5,3.62,3.26,2026-03-29,27.11,74.07,Dover Wholesale
SCH-10134,Splint Boots Neoprene Front Pair,Boots & Wraps,29,8,20,4,5,0.29,0.26,2026-03-25,13.4,31.19,Blue Ridge Equine Supply
SCH-10135,Ice Boot Therapy Full Leg,Boots & Wraps,108,28,21,5,5,0.83,0.75,2026-04-02,27.35,78.71,Horsemens Pride
SCH-10136,Tendon Boots Open Front Pair,Boots & Wraps,13,9,60,12,5,0.13,0.12,2026-03-31,19.92,54.07,Mountain Horse EU
SCH-10137,Quick Wrap Standing Bandage Set of 4,Boots & Wraps,0,39,18,5,5,1.43,1.29,2026-03-08,20.7,53.52,Dover Wholesale
SCH-10138,Hoof Boot Emergency Soaking Size M,Boots & Wraps,478,107,21,5,5,3.16,2.84,2026-03-31,14.2,32.88,Horsemens Pride
SCH-10139,Fetlock Boots Hind Pair,Boots & Wraps,37,25,60,12,5,0.34,0.31,2026-03-30,11.57,30.74,Mountain Horse EU
SCH-10140,Vet Flex Bandage Wrap 4in,Boots & Wraps,185,58,20,4,5,1.85,1.67,2026-03-30,3.51,7.35,Blue Ridge Equine Supply
SCH-10141,Ceramic Therapy Knee Boots Pair,Boots & Wraps,1275,409,21,5,5,13.01,11.71,2026-04-01,41.86,110.12,Horsemens Pride
SCH-10142,Galloping Boots Cross Country Pair,Boots & Wraps,829,474,60,12,5,6.28,5.65,2026-03-28,17.14,48.89,Mountain Horse EU
SCH-10143,Leather Girth Extender 6in,Horse Tack Accessories,1259,302,18,5,5,10.19,9.17,2026-03-22,5.36,16.36,Dover Wholesale
SCH-10144,Stirrup Irons Fillis Stainless 4.75in,Horse Tack Accessories,603,354,60,12,5,3.9,3.51,2026-04-01,16.4,37.1,Mountain Horse EU
SCH-10145,Nylon Stirrup Leathers 54in,Horse Tack Accessories,202,93,18,5,5,2.2,1.98,2026-03-21,8.62,18.0,Dover Wholesale
SCH-10146,Martingale Running Attachment Leather,Horse Tack Accessories,558,520,60,12,5,7.06,6.35,2026-03-06,17.52,44.03,Mountain Horse EU
SCH-10147,Saddle Pad Liner Fleece Half Pad,Horse Tack Accessories,118,116,14,3,5,5.18,4.66,2026-03-05,18.15,40.09,Local Craftworks
SCH-10148,Lunge Line Cotton Web 25ft,Horse Tack Accessories,56,23,20,4,5,0.71,0.64,2026-03-16,7.32,18.9,Blue Ridge Equine Supply
SCH-10149,Side Reins Elastic Insert Pair,Horse Tack Accessories,75,137,60,12,5,1.91,1.72,2026-03-12,8.21,16.88,Mountain Horse EU
SCH-10150,Curb Chain Stainless Steel Single Link,Horse Tack Accessories,19,4,18,5,5,0.17,0.15,2026-03-26,3.36,6.88,Dover Wholesale
SCH-10151,Breastplate 5-Point Elastic,Horse Tack Accessories,14,10,60,12,5,0.14,0.13,2026-03-26,31.61,102.25,Mountain Horse EU
SCH-10152,Horse Toy Jolly Ball 10in,Horse Tack Accessories,300,105,21,5,5,3.43,3.09,2026-03-30,7.51,24.35,Horsemens Pride
SCH-10153,Grazing Muzzle Adjustable Nylon,Horse Tack Accessories,46,19,18,5,5,0.65,0.59,2026-03-05,17.08,56.59,Dover Wholesale
SCH-10154,Training Surcingle Fleece Lined,Horse Tack Accessories,10,7,18,5,5,0.16,0.14,2026-03-05,25.97,75.9,Dover Wholesale
SCH-10155,Draw Reins Nylon Web,Horse Tack Accessories,294,133,18,5,5,4.49,4.04,2026-03-05,11.79,31.07,Dover Wholesale
SCH-10156,Salt Lick Himalayan on Rope,Horse Tack Accessories,49,11,20,4,5,0.38,0.34,2026-03-20,4.18,10.97,Blue Ridge Equine Supply
SCH-10157,Helmet Bag Padded with Vent,Rider Accessories,9,5,20,4,5,0.18,0.16,2026-03-21,14.58,48.51,Blue Ridge Equine Supply
SCH-10158,Spur Straps Leather Plain,Rider Accessories,0,7,18,5,5,0.27,0.24,2026-03-17,6.8,15.75,Dover Wholesale
SCH-10159,Riding Crop Leather Wrapped 26in,Rider Accessories,2,17,18,5,5,0.57,0.51,2026-03-05,7.54,19.23,Dover Wholesale
SCH-10160,Boot Bag Tall Zip with Handle,Rider Accessories,121,26,20,4,5,0.91,0.82,2026-03-30,8.45,23.38,Blue Ridge Equine Supply
SCH-10161,Garment Bag Show Coat Standard,Rider Accessories,58,24,20,4,5,0.81,0.73,2026-03-11,19.7,52.13,Blue Ridge Equine Supply
SCH-10162,Belt Leather Elastic with Buckle,Rider Accessories,71,18,18,5,5,0.61,0.55,2026-03-27,14.23,30.85,Dover Wholesale
SCH-10163,Hair Net Show Ring 2-Pack,Rider Accessories,27,7,20,4,5,0.22,0.2,2026-04-01,2.95,8.76,Blue Ridge Equine Supply
SCH-10164,Stock Tie Pre-Tied White,Rider Accessories,383,409,60,12,5,4.5,4.05,2026-03-27,10.27,25.88,Mountain Horse EU
SCH-10165,Riding Sock Tall Boot Moisture Wicking,Rider Accessories,0,28,20,4,5,0.9,0.81,2026-03-13,4.28,13.46,Blue Ridge Equine Supply
SCH-10166,Number Holder Arm Band Pair,Rider Accessories,165,84,18,5,5,1.96,1.76,2026-03-29,3.16,6.53,Dover Wholesale
SCH-10167,Spurs Prince of Wales Stainless,Rider Accessories,0,24,18,5,5,0.78,0.7,2026-01-23,14.34,35.36,Dover Wholesale
SCH-10168,Boot Jack Pull Off,Rider Accessories,27,20,20,4,5,0.65,0.59,2026-03-19,3.86,8.21,Blue Ridge Equine Supply
